id,nome,telefone,nascimento,cpf,cep,uf,logradouro,bairro,cidade,complemento
0001087,Elisa da Paz,+55 (51) 95418-3307,1986-12-12,34800312345,93336040,RS,Rua Albino Alfredo Spohr,Ideal,Novo Hamburgo,Apto 852
0001088,Srta. Giovanna Silva,+55 (11) 97795-2120,2000-10-11,74078426808,18680550,SP,Rua Amazonas - até 423/424,Jardim Cruzeiro,Lençóis Paulista,"Bloco B1, Apto 835"
0001089,Isaque Sampaio,+55 (17) 4632-9399,1994-01-03,59082242940,06795060,SP,Rua Agostinho Marcelino de Souza,Parque Laguna,Taboão da Serra,"Bloco D4, Apto 710"
0001090,Nathan Brito,+55 (24) 99977-1554,1974-09-22,87654247354,25640033,RJ,Servidão João José Alves de Paula,Castelanea,Petrópolis,Apto 831
0001091,Olívia Moreira,+55 (18) 3842-5651,1983-12-25,93752570539,12922427,SP,Rua João Andalécio Gê-Acaiaba,Jardim Vista Alegre,Bragança Paulista,
0001092,Alexia Freitas,+55 (84) 94207-3347,1969-07-24,15112395656,59620693,RN,Avenida Hamilton Freire de Andrade Júnior,Redenção,Mossoró,"Bloco E4, Apto 707"
0001093,Felipe Correia,+55 (61) 93537-0472,1971-12-30,64079625952,72801510,GO,Avenida Central,Setor Fumal,Luziânia,Apto 274
0001094,Pedro Alves,+55 (21) 99772-7078,1968-04-13,94927302350,02226001,SP,Rua Tenente Sotomano - de 1389/1390 ao fim,Jardim Brasil (Zona Norte),São Paulo,"Bloco C3, Apto 22"
0001095,Luiz Miguel Fonseca,+55 (27) 97302-2180,1961-09-17,66667662451,08592310,SP,Rua Pedregulho,Parque Recanto Mônica,Itaquaquecetuba,
0001096,Davi Miguel da Rocha,+55 (82) 95766-7056,1975-04-07,62427546062,57240016,AL,Avenida Vera Cruz - lado par,Centro,São Miguel dos Campos,Apto 620
0001097,Maya Porto,+55 (28) 91461-5275,1993-05-02,86620505309,29052046,ES,Beco Almir Barbosa,Jesus de Nazareth,Vitória,Casa 40
0001098,Vinícius Silva,+55 (19) 91328-5107,1980-02-10,64071590408,07083340,SP,Rua Palmira D'Oeste,Jardim Betel,Guarulhos,"Bloco D5, Apto 802"
0001099,Pedro Henrique Cardoso,+55 (81) 95446-0012,1955-06-07,87907747520,54753130,PE,Rua Aleixo,Nazaré,Camaragibe,"Bloco C4, Apto 87"
0001100,Arthur Nogueira,+55 (12) 93520-0900,2005-05-13,33319483811,17202450,SP,Rua Prefeito Francisco Toledo Arruda,Chácara Canhos,Jaú,Apto 135
0001101,Arthur Miguel Dias,+55 (21) 90315-3222,1980-01-10,64932856580,25810360,RJ,Rua Boa Vista,Monte Castelo,Três Rios,Apto 838
0001102,Bruna Cunha,+55 (53) 93466-3732,1982-02-05,36494369146,91550800,RS,Rua Humberto Luiz Monteiro,Lomba do Pinheiro,Porto Alegre,Apto 96
0001103,Lorena Novais,+55 (91) 98598-7350,1968-04-10,40107553856,66030075,PA,Vila Maria do Parto,Jurunas,Belém,"Bloco B2, Apto 637"
0001104,Augusto Borges,+55 (11) 93815-2883,1969-08-03,48937514095,08485440,SP,Rua Arroio Arapongas,Conjunto Habitacional Santa Etelvina III,São Paulo,Apto 277
0001105,Evelyn da Rocha,+55 (12) 98060-7530,2004-11-29,41771222891,06693420,SP,Rua dos Sapotis,Chácara Vitápolis,Itapevi,"Bloco E5, Apto 818"
0001106,Maria Helena Fernandes,+55 (86) 98178-6604,1962-09-03,78310083300,55602140,PE,Rua Professora Amélia Coelho,Matriz,Vitória de Santo Antão,"Bloco B5, Apto 347"
0001107,João Guilherme Pacheco,+55 (27) 3689-3753,1986-03-14,39864681290,22760130,RJ,Rua Professor Manuel Lima,Freguesia (Jacarepaguá),Rio de Janeiro,Apto 688
0001108,Yuri Rodrigues,+55 (33) 99270-1843,1996-10-06,26831301207,32210187,MG,Beco Principal,Cidade Industrial,Contagem,Apto 470
0001109,Alice Câmara,+55 (81) 4828-7942,1981-09-09,91621690172,49065710,SE,Rua São João,Industrial,Aracaju,"Bloco D4, Apto 864"
0001110,Ana Julia Moreira,+55 (84) 92043-8178,1978-05-25,94883783529,59633460,RN,Rua Sebastião Leandro,Alto do Sumaré,Mossoró,
0001111,Aylla Fernandes,+55 (54) 90452-3848,1994-04-16,17413189399,96410060,RS,Rua Trezentos e Cinqüenta e Sete,São Domingos,Bagé,Apto 864
0001112,Bella Andrade,+55 (91) 90382-9432,1976-06-15,58132131983,67133000,PA,Travessa Sn-17 (Cidade Nova V),Cidade Nova,Ananindeua,
0001113,Luiz Gustavo Novaes,+55 (48) 91219-3120,1988-03-14,66054763105,88501013,SC,Rua Aroldo da Silva Sá,Centro,Lages,
0001114,Alice Brito,+55 (88) 90516-1241,1985-08-04,09683759793,63022030,CE,Rua Izabel Leal,Antônio Vieira,Juazeiro do Norte,Casa 10
0001115,Eduardo Caldeira,+55 (22) 93199-6509,1972-09-21,33591054518,27525320,RJ,Rua Joel Graciani,Cidade Alegria II,Resende,
0001116,Ana Julia Garcia,+55 (96) 99131-3906,1970-02-05,51015097871,66026338,PA,Vila Safira,Jurunas,Belém,Casa 87
0001117,Nicolas Vieira,+55 (14) 98595-8716,1955-03-10,93676811437,08568740,SP,Travessa Cambiri,Jardim Nova Poá,Poá,"Bloco C1, Apto 679"
0001118,Fernanda Sales,+55 (62) 95144-3711,1997-03-31,95291818840,72504241,DF,CL 404 Bloco A,Santa Maria,Brasília,Apto 642
0001119,Thiago Costela,+55 (69) 93805-2094,2006-04-05,69951709702,76914700,RO,Rua Santa Clara - de 491/492 a 1066/1067,Primavera,Ji-Paraná,"Bloco D3, Apto 961"
0001120,Bianca Moura,+55 (41) 92810-6617,1973-10-15,98809209028,05635030,SP,Rua Ladário Teixeira,Jardim Monte Kemel,São Paulo,Apto 99
0001121,Daniel da Conceição,+55 (88) 99350-3231,1983-05-05,54497896374,60510181,CE,Vila Rosinha,Henrique Jorge,Fortaleza,Apto 678
0001122,Hadassa Novaes,+55 (13) 92211-7309,2000-01-05,09497303785,03664050,SP,Travessa Palma Christi,Vila Ré,São Paulo,
0001123,Alícia Silva,+55 (74) 93563-9233,1975-11-20,36633427867,41925325,BA,Rua Valdomiro,Santa Cruz,Salvador,Apto 341
0001124,Joana Moreira,+55 (84) 95310-5986,1996-04-20,55538999661,59490970,RN,"Rua José Camilo Bezerra, 31",Centro,Ielmo Marinho,Casa 51
0001125,Benjamin Leão,+55 (53) 96567-3370,1964-04-29,99645322294,92032635,RS,Rua Jabuticabas (Lot Nova Estância I),Estância Velha,Canoas,Apto 34
0001126,Isadora Brito,+55 (41) 90006-5627,1996-11-07,96430278301,81170520,PR,Rua João Amaral de Almeida,Cidade Industrial,Curitiba,"Bloco D4, Apto 484"
0001127,Emanuelly Sampaio,+55 (75) 90932-2846,1978-03-20,25943388770,48603596,BA,Rua Madre Tereza de Calcutá,São Vicente,Paulo Afonso,Apto 868
0001128,Ana Lívia Sampaio,+55 (77) 91065-7526,1957-12-10,27192285838,40220245,BA,1ª Travessa Palmeiras,Engenho Velho da Federação,Salvador,
0001129,Maya Cavalcante,+55 (62) 93726-2778,1985-09-02,59484790720,75134500,GO,Rua Ibirapuera,Vila Mariana,Anápolis,Apto 865
0001130,Brayan Alves,+55 (21) 3019-8950,1971-04-12,53063225908,19065780,SP,Rua Geremia Anhasco,Jardim Vale Verde,Presidente Prudente,Apto 691
0001131,Bruno Borges,+55 (14) 91706-5822,1978-08-06,68742166276,04851402,SP,Rua Rouxinol Cantante,Parque Residencial dos Lagos,São Paulo,
0001132,Maria Isis Aparecida,+55 (48) 94294-4664,1954-08-17,78061156253,89708308,SC,Rua Attilio Lorenzetti,Nações,Concórdia,"Bloco A1, Apto 964"
0001133,Heloisa Cirino,+55 (62) 91522-6020,2005-11-10,55088141831,74356074,GO,Rua RI 27,Residencial Itaipu,Goiânia,"Bloco E1, Apto 620"
0001134,Srta. Aurora Porto,+55 (18) 3795-9494,1971-07-03,77762556370,04468100,SP,Rua General Edson Figueiredo,Jardim da Pedreira,São Paulo,
0001135,Ana Beatriz Gomes,+55 (11) 94809-5697,1997-06-16,29665310704,07174210,SP,Rua Horácio de Almeida,Residencial Parque Cumbica,Guarulhos,Apto 434
0001136,Ryan Pacheco,+55 (24) 96658-1875,1998-10-24,52137427427,23932447,RJ,Rua Seis de Janeiro - até 179/180,Campo Belo (Cunhambebe),Angra dos Reis,Apto 449
0001137,Diego Aragão,+55 (21) 92695-4548,1952-11-09,24662528135,24030090,RJ,Rua Visconde de Itaboraí - até 129 - lado ímpar,Centro,Niterói,Apto 576
0001138,Dom Rios,+55 (75) 93971-5352,1976-03-19,48515850397,40365885,BA,2ª Avenida da Alegria,Curuzu,Salvador,"Bloco D1, Apto 117"
0001139,Luna Brito,+55 (93) 3935-2588,2005-07-23,20111239257,66615640,PA,Rua E Conjunto Mendara,Marambaia,Belém,"Bloco C1, Apto 367"
0001140,Luísa Freitas,+55 (27) 91361-0544,1965-02-15,69509397440,38010400,MG,Rua Senador Pena,Centro,Uberaba,
0001141,Yago da Paz,+55 (48) 93026-0607,1969-05-30,13223686002,89254100,SC,Rua Prefeito José Bauer - até 1199/1200,Rau,Jaraguá do Sul,Apto 619
0001142,Sarah da Rosa,+55 (82) 92636-8730,1966-02-02,38388124331,49015380,SE,Avenida Augusto Maynard,São José,Aracaju,"Bloco D2, Apto 882"
0001143,Valentina Castro,+55 (67) 99015-2455,2004-07-27,92601539488,79410970,MS,"Avenida Manoel Alves de Moraes Junior, 52",Centro,Pedro Gomes,
0001144,Ágatha Nogueira,+55 (53) 91930-2247,1987-11-26,63001525290,97574810,RS,Rua Marcos Ramires Filho,Umbu,Santana do Livramento,Apto 408
0001145,Rafael Araújo,+55 (21) 93005-2507,1969-02-04,78554986997,17604440,SP,Rua Antônio Limieri,Parque Tabajaras,Tupã,Apto 333
0001146,Breno Oliveira,+55 (42) 97937-8488,1981-12-17,40923464840,87290970,PR,"Avenida Liberdade, 1842-B",Centro,Luiziana,Apto 47
0001147,Rebeca da Luz,+55 (35) 98516-7262,1972-03-19,07014946463,33943490,MG,Rua Juvenil Ferreira da Cruz,Felixlândia (Justinópolis),Ribeirão das Neves,
0001148,Bianca Casa Grande,+55 (79) 90208-3928,1955-11-14,35347696192,44066162,BA,Rua Barro Preto,Conceição,Feira de Santana,
0001149,Milena da Rosa,+55 (61) 96254-1691,2003-03-10,07704055925,71805126,DF,QN 1 Conjunto 26,Riacho Fundo I,Brasília,"Bloco A3, Apto 53"
0001150,Vitória Moura,+55 (27) 97064-3364,1990-05-14,72850866148,29024025,ES,Travessa Nove de Agosto,Grande Vitória,Vitória,Apto 162
0001151,Pedro Miguel Sales,+55 (51) 92023-5947,1952-12-17,46618354846,88348396,SC,Rua Monte Dedo de Deus,Monte Alegre (Monte Alegre),Camboriú,Casa 25
0001152,Arthur Mendonça,+55 (66) 92674-2474,1954-04-12,57816290250,78555230,MT,Rua Nicolau Flessak - até 1262/1263,Jardim Europa,Sinop,"Bloco D4, Apto 427"
0001153,Antony da Rocha,+55 (64) 92484-8122,1980-05-25,01897058330,74943650,GO,Rua Monsenhor Jerônimo,Jardim Buriti Sereno,Aparecida de Goiânia,
0001154,Bella Brito,+55 (73) 90428-8510,1966-04-15,68761027855,41305025,BA,Rua Sargento Nicanor Alves,Valéria,Salvador,Apto 865
0001155,Juliana Pacheco,+55 (14) 97772-4222,1993-08-27,32589584083,06608010,SP,Rua São José,Jardim Belmont,Jandira,"Bloco A5, Apto 556"
0001156,Diego Pastor,+55 (81) 92011-7049,1967-07-02,66794961288,50020410,PE,Rua dos Pescadores,São José,Recife,
0001157,Gustavo Henrique Guerra,+55 (62) 5409-3687,1999-01-09,52504537328,78010904,MT,"Rua Vereador João Barbosa Caramuru, 258",Bandeirantes,Cuiabá,Apto 128
0001158,Carolina Vieira,+55 (24) 91748-6911,1975-07-08,10112594433,20920350,RJ,Rua Ferreira de Araújo,São Cristóvão,Rio de Janeiro,"Bloco D1, Apto 834"
0001159,Emilly Cardoso,+55 (86) 4754-2594,1987-11-10,03688655338,64216781,PI,Quadra F4 (Cj Dom Rufino I),Igaraçu,Parnaíba,Casa 55
0001160,Noah Nascimento,+55 (66) 99122-6757,1981-01-29,65387676729,78135628,MT,Rua Vitória da Conquista (Lot N V Grande),Centro-Sul,Várzea Grande,
0001161,Samuel Aparecida,+55 (18) 5176-4241,2005-09-08,22902920520,12518360,SP,Rua Maria de Lourdes Carvalho,Jardim Esperança,Guaratinguetá,Apto 621
0001162,Esther Barros,+55 (61) 90615-6411,2002-09-21,63483184198,73051145,DF,Quadra 14 Comércio Local 18,Sobradinho,Brasília,"Bloco D2, Apto 417"
0001163,José Pedro das Neves,+55 (11) 91134-6457,2006-10-23,24484847590,27525610,RJ,Rua F,Morada da Montanha,Resende,
0001164,Marina Vargas,+55 (83) 96509-3255,1987-06-22,01375301535,58973000,PB,,Distrito,Cardoso (Conceição),Apto 833
0001165,Matteo Pastor,+55 (31) 96195-7356,1977-11-23,34095867760,72333304,DF,QR 623 Conjunto 3,Samambaia Norte (Samambaia),Brasília,
0001166,Theo Ferreira,+55 (54) 93019-6115,1995-07-20,49652206687,91755782,RS,Beco Um (Juca Batista),Hípica,Porto Alegre,
0001167,Ana Clara Jesus,+55 (47) 98155-1978,1985-04-24,63646096519,89058402,SC,Rua San Marino,Fortaleza Alta,Blumenau,Apto 305
0001168,Oliver da Rocha,+55 (42) 5086-5166,1996-07-02,08509151393,83324140,PR,Rua Pastor Eurípedes Souza de Oliveira,Centro,Pinhais,"Bloco D4, Apto 581"
0001169,Isabelly da Paz,+55 (86) 98552-0191,1991-06-05,01169032443,59668971,RN,"Rua Joca de Melo, 102",Centro,Porto do Mangue,
0001170,Marina Fogaça,+55 (89) 93753-4229,1998-08-03,75702403401,64202155,PI,Rua Augusto Severo,Nossa Senhora de Fátima,Parnaíba,Apto 435
0001171,Yuri da Mota,+55 (61) 3817-0462,1957-10-01,33307172034,72428011,DF,Casa Grande Módulo 1 MA - 4,Ponte Alta Norte (Gama),Brasília,Apto 80
0001172,Letícia Lima,+55 (21) 94076-4855,1966-06-22,36717276754,25977095,RJ,Estrada Guatemala,Albuquerque,Teresópolis,
0001173,Diogo Peixoto,+55 (83) 3327-7259,1995-03-02,66862393138,59621483,RN,Rua Geraldo Couto,Santo Antônio,Mossoró,
0001174,Kamilly Rodrigues,+55 (22) 97349-9988,1995-06-08,45977902840,26052560,RJ,Rua Batel,Parque Saudade,Nova Iguaçu,Casa 10
0001175,Aurora Novais,+55 (79) 90148-8339,1986-01-30,77682597500,49004712,SE,Rua M (Lot Pr do Refúgio),Zona de Expansão (Robalo),Aracaju,"Bloco B2, Apto 635"
0001176,Cauã Santos,+55 (11) 96791-7167,1967-03-11,90331242117,03570190,SP,Rua Vito Modesto Pedote,Parque Savoy City,São Paulo,
0001177,Isis Dias,+55 (33) 97674-4011,1984-01-07,94879705411,30692680,MG,Rua Bálsamo,Marilândia,Belo Horizonte,"Bloco D4, Apto 495"
0001178,Ana Beatriz Lima,+55 (19) 97195-9723,1966-03-02,48746475028,19042653,SP,Rua Celina Sumie Itani Akaki,Conjunto Habitacional José de Souza Reis,Presidente Prudente,"Bloco E3, Apto 859"
0001179,Larissa da Mata,+55 (17) 95288-3425,1963-12-24,37744714369,12341210,SP,Rua Benedito Martins,Vila São João (São Silvestre),Jacareí,"Bloco B1, Apto 783"
0001180,Ravi Ferreira,+55 (74) 96307-3590,1980-02-21,29836477810,40349165,BA,Ladeira dos Fiais,Alto do Peru,Salvador,Apto 586
0001181,Liz Correia,+55 (48) 95275-6988,1958-01-20,61727005295,87069026,PR,Rua 61.004,Parque Industrial Cidade de Maringá,Maringá,Apto 656
0001182,Brenda Martins,+55 (18) 93216-1464,1967-12-23,37929039030,06820210,SP,Rua Marechal Deodoro da Fonseca,Jardim Presidente Kennedy,Embu das Artes,
0001183,Ana Clara Borges,+55 (62) 91686-5855,1994-02-06,69141270932,74255360,GO,Rua C120,Jardim América,Goiânia,Apto 320
0001184,Daniel Gonçalves,+55 (92) 94722-0866,1993-08-07,05102617010,69401335,AM,Rua Augusto Lemos Coelho,Terra Preta,Manacapuru,
0001185,Caio Leão,+55 (14) 4822-2068,1988-01-05,72821128517,15061807,SP,Rua Luiz Octávio Ramos Pires,Residencial Marcia,São José do Rio Preto,Casa 66
0001186,Catarina Costela,+55 (21) 90076-0235,1979-05-27,09733953628,29287000,ES,,Distrito,Aghá (Piúma),Apto 934
0001187,Ana Julia Moraes,+55 (14) 97310-6308,1959-09-08,84798920720,17213600,SP,Rua Nelson Camargo,Jardim Nova Jaú,Jaú,"Bloco B2, Apto 772"
0001188,João Miguel Lopes,+55 (98) 98175-5301,1954-04-02,72414976608,68005490,PA,Rua Belém,Prainha,Santarém,Apto 969
0001189,Gabriela Siqueira,+55 (21) 97533-5750,1957-11-15,59502349601,12513050,SP,Rua Seis,São Dimas,Guaratinguetá,Apto 457
0001190,Fernanda Aragão,+55 (11) 95467-2703,1953-08-06,30525395903,30320650,MG,Rua Professor Raimundo Cândido,Belvedere,Belo Horizonte,Casa 66
0001191,Igor Ribeiro,+55 (55) 97565-4054,1954-04-09,85121966377,99054120,RS,Rua Gomercindo dos Reis,São Luiz Gonzaga,Passo Fundo,Apto 475
0001192,Daniel Lima,+55 (37) 4318-3154,1986-07-01,63736177429,31730350,MG,Rua Balsa,Campo Alegre,Belo Horizonte,Apto 839
0001193,Breno Sousa,+55 (11) 97223-5397,1984-01-03,50724860797,81490384,PR,Rua Professor Astolpho de Macedo Souza Filho,Campo de Santana,Curitiba,Apto 364
0001194,Lavínia Pinto,+55 (48) 93888-4753,1966-09-30,18639059012,96830691,RS,Rua Cristiano Haar,Aliança,Santa Cruz do Sul,"Bloco B3, Apto 933"
0001195,Letícia Vargas,+55 (51) 4029-4751,1977-09-28,20032783620,88317527,SC,Rua José Francisco Reis,Espinheiros,Itajaí,"Bloco E3, Apto 610"
0001196,Laura Macedo,+55 (27) 4574-5065,1954-02-26,41603040609,18209400,SP,Praça São Paulo,Jardim Leonel,Itapetininga,
0001197,Isabelly Sampaio,+55 (13) 4361-3432,1954-05-24,36173798859,08320330,SP,Rua Clemente Falcão,Parque São Rafael,São Paulo,Apto 295
0001198,Vicente Abreu,+55 (16) 97728-7069,2007-01-04,65004199361,09860090,SP,Rua José Campi (Jd V Cruz),Independência,São Bernardo do Campo,"Bloco D1, Apto 456"
0001199,Srta. Emanuelly Gomes,+55 (87) 94965-3059,1991-05-27,03292747830,55158400,PE,Rua Baraúna,COHAB-I,Belo Jardim,Apto 683
0001200,Marcela Almeida,+55 (33) 95175-5133,1994-02-02,99645933170,32415676,MG,Alameda da Jangada,Quintas da Jangada - 3ª Seção,Ibirité,"Bloco A1, Apto 631"
0001201,Amanda Fernandes,+55 (38) 98729-5818,1960-11-11,96031474000,36092040,MG,Rua E,Distrito Industrial,Juiz de Fora,Apto 322
0001202,Luna Casa Grande,+55 (61) 93767-1287,1952-11-09,17941203006,36061195,MG,Rua Antônio Pedro Félix,São Benedito,Juiz de Fora,"Bloco E3, Apto 645"
0001203,Emanuel Leão,+55 (32) 5231-3912,1974-07-09,34810101681,26127800,RJ,Rua Rubi,Shangri-lá,Belford Roxo,
0001204,Rhavi Pereira,+55 (79) 99609-5446,1971-06-11,14761763531,48609022,BA,Rua 13 de Maio,Tancredo Neves I,Paulo Afonso,
0001205,Emanuel Pacheco,+55 (14) 98394-8012,1968-02-02,91347732829,05876070,SP,Rua Fernandes Trancoso,Jardim Guarujá,São Paulo,
0001206,Mirella Alves,+55 (19) 96568-9416,1991-07-30,59407287157,17210090,SP,Rua Paulino Maciel,Chácara Braz Miraglia,Jaú,Apto 503
0001207,Beatriz Santos,+55 (84) 95359-2534,1996-01-07,89216582111,59035660,RN,Rua Luiz Souto,Quintas,Natal,Casa 21
0001208,Ravy Cassiano,+55 (24) 90660-6976,2004-04-29,46456540208,27935110,RJ,Rua Manaus,Novo Horizonte,Macaé,Apto 892
0001209,Henrique Cardoso,+55 (14) 96314-9763,1969-07-03,66356411570,05868090,SP,Rua Trevo de Cheiro,Conjunto Habitacional Instituto Adventista,São Paulo,
0001210,Luiza da Luz,+55 (34) 5775-3602,2006-03-07,92061924425,38082060,MG,Rua Jorge Miguel Miziara,São José,Uberaba,
0001211,Joana Fernandes,+55 (51) 90757-0590,1961-12-27,32742054863,89802405,SC,Rua Clevelândia - D - de 481/482 a 1072/1073,Jardim Itália,Chapecó,
0001212,Kaique Melo,+55 (85) 3585-6095,1954-03-02,75414267928,60332415,CE,Travessa Novo Lar,Barra do Ceará,Fortaleza,"Bloco B1, Apto 420"
0001213,Maria Isis Dias,+55 (79) 93404-1529,1989-07-28,61286607620,49041090,SE,Rua Engenheiro Marcondes Ferraz - até 9997/9998,Inácio Barbosa,Aracaju,
0001214,Milena Novais,+55 (13) 95198-0886,1978-02-27,20880536110,03436007,SP,Travessa Francisca de Paula,Vila Carrão,São Paulo,Apto 467
0001215,Marina Sá,+55 (66) 92968-3289,1982-10-22,45933575437,78120585,MT,Rua Padre Firmo (Lot Maringá I),Parque do Lago,Várzea Grande,Apto 673
0001216,Manuela Abreu,+55 (66) 92168-9439,1996-09-01,81178283836,79052070,MS,Rua Spipe Calarge - de 2000/2001 ao fim,Vila Morumbi,Campo Grande,"Bloco B2, Apto 49"
0001217,Davi Lucca Martins,+55 (71) 94331-1448,1981-01-12,02258447372,45079436,BA,Rua G (Res Jequitibá),Zabelê,Vitória da Conquista,
0001218,Ana Carolina Sampaio,+55 (86) 92720-0823,1980-11-22,73309249549,64002420,PI,Rua Anísio de Abreu (Zona Norte) - de 1203 a 1503 - lado ímpar,Vila Operária,Teresina,Casa 66
0001219,Ana Clara Porto,+55 (41) 93745-0860,2004-12-03,25462969490,19061374,SP,Rua dos Cisnes,Jardim João Paulo II,Presidente Prudente,Apto 525
0001220,Luara Rios,+55 (17) 91019-0841,1955-07-18,92197707841,06882150,SP,Estrada João Antonio Domingues,Potuverá,Itapecerica da Serra,"Bloco C1, Apto 78"
0001221,Sophia Castro,+55 (81) 90602-3027,1977-02-19,39184495723,40349742,BA,Beco de Abílio,Alto do Peru,Salvador,"Bloco A1, Apto 191"
0001222,Ana Luiza Viana,+55 (24) 93672-2235,1959-12-15,92620552850,26475420,RJ,Rua Evaristo Lobato,Jardim São Sebastião,Japeri,Casa 7
